Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,Functions,Error,Error-Type-New
S_B_F_AF_TG,AF_TG,S,L1,TG,EN,[GLCLC text removed],感,MS,,
W_B_F_LX_RU,LX_RU,W,L1,RU,RU,[GLCLC text removed],了解,ABT,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],好,EVAL,,
S_B_M_AILAN_PK,AILAN_PK,S,L1,PK,Other,[GLCLC text removed],好,EVAL,,
S_B_M_AXH_UZ,AXH_UZ,S,L1,UZ,TK,[GLCLC text removed],好,EVAL,,
S_B_M_LMN_TH_1,LMN_TH,S,L1,TH,TH,[GLCLC text removed],好,EVAL,,
W_B_F_AIML_KZ_2,AIML_KZ,W,L1,KZ,TK,[GLCLC text removed],好,EVAL,,
W_B_F_XY_UZ,XY_UZ,W,L1,UZ,TK,[GLCLC text removed],影响,EVAL,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,EVAL,,
W_B_F_DAN_PE,DAN_PE,W,L1,PE,ES,[GLCLC text removed],有,EVAL,,
W_B_M_LBI_TG_2,LBI_TG,W,L1,TG,EN,[GLCLC text removed],有,EVAL,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],起,EVAL,,
S_B_F_YUL_US+B_F_XPP_TH,XPP_TH,S,L1,TH,TH,[GLCLC text removed],一样,DISP,,
W_B_M_RYS_VN,RYS_VN,W,L1,VN,VN,[GLCLC text removed],一样,DISP,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],习惯,MS,,
W_B_F_ZZX_KR_1,ZZX_KR,W,L1,KR,KR,[GLCLC text removed],习惯,MS,,
W_B_F_OLY_RU_4,OLY_RU,W,L1,RU,RU,[GLCLC text removed],习惯,MS,,
W_B_F_OMLI_TH_4,OMLI_TH,W,L1,TH,TH,[GLCLC text removed],习惯,MS,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],了解,MS,,
S_B_F_JXJ_KR,JXJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,MS,,
S_B_F_LT_ES_2,LT_ES,S,L1,ES,ES,[GLCLC text removed],了解,MS,,
S_B_F_LX_RU,LX_RU,S,L1,RU,RU,[GLCLC text removed],了解,MS,,
S_B_M_HA_ES,HA_ES,S,L1,ES,ES,[GLCLC text removed],了解,MS,,
S_B_M_LZJ_KR,LZJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,MS,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],了解,MS,,
S_B_F_RFM_VN_3,RFM_VN,S,L1,VN,VN,[GLCLC text removed],亲切,DISP,,
S_B_M_YJG_RU_2,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,MS,,
W_B_F_JDX_KR,JDX_KR,W,L1,KR,KR,[GLCLC text removed],关照,DISP,,
S_B_F_XSL_CM_2,XSL_CM,S,L1,CM,EN,[GLCLC text removed],好,DISP,,
S_B_M_EMILIO_MX,EMILIO_MX,S,L1,MX,ES,[GLCLC text removed],好,DISP,,
S_B_M_HSYI_BI,HSYI_BI,S,L1,BI,Other,[GLCLC text removed],好,DISP,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,DISP,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,DISP,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],好,DISP,,
W_B_F_DBY_VN,DBY_VN,W,L1,VN,VN,[GLCLC text removed],好,DISP,,
W_B_F_LZLA_CD,LZLA_CD,W,L1,CD,FR,[GLCLC text removed],好,DISP,,
W_B_F_KLL_CM,KLL_CM,W,L1,CM,EN,[GLCLC text removed],好,DISP,,
W_B_F_RSHF_VN,RSHF_VN,W,L1,VN,VN,[GLCLC text removed],好,DISP,,
S_B_F_DSQC_VN,DSQC_VN,S,L1,VN,VN,[GLCLC text removed],感,MS,,
S_B_F_JCXU_KR,JCXU_KR,S,L1,KR,KR,[GLCLC text removed],感,MS,,
S_B_F_KLL_CM_4,KLL_CM,S,L1,CM,EN,[GLCLC text removed],感,MS,,
S_B_F_LINA_CO_1,LINA_CO,S,L1,CO,ES,[GLCLC text removed],感,MS,,
S_B_F_PSX_KR,PSX_KR,S,L1,KR,KR,[GLCLC text removed],感,MS,,
S_B_M_ABU_KG,ABU_KG,S,L1,KG,TK,[GLCLC text removed],感,MS,,
S_B_M_ALM_TG,ALM_TG,S,L1,TG,EN,[GLCLC text removed],感,MS,,
S_B_M_FLS_SY,FLS_SY,S,L1,SY,AR,[GLCLC text removed],感,MS,,
S_B_M_WS_CM,WS_CM,S,L1,CM,EN,[GLCLC text removed],感,MS,,
S_B_M_XSE_ES,XSE_ES,S,L1,ES,ES,[GLCLC text removed],感,MS,,
S_B_M_ZSZ_KR,ZSZ_KR,S,L1,KR,KR,[GLCLC text removed],感,MS,,
W_B_F_ST_MG,ST_MG,W,L1,MG,Other,[GLCLC text removed],感,MS,,
W_B_F_DSQC_VN_3,DSQC_VN,W,L1,VN,VN,[GLCLC text removed],感,MS,,
W_B_M_AHA_YE_2,AHA_YE,W,L1,YE,AR,[GLCLC text removed],感,MS,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,MS,,
S_B_M_ST_BE,ST_BE,S,L1,BE,Other,[GLCLC text removed],有,MS,,
S_B_M_JWQ_KR,JWQ_KR,S,L1,KR,KR,[GLCLC text removed],满意,MS,,
W_B_F_GH_VN,GH_VN,W,L1,VN,VN,[GLCLC text removed],满意,MS,,
W_B_M_LMN_TH_2,LMN_TH,W,L1,TH,TH,[GLCLC text removed],热情,DISP,,
W_B_F_ND_TG_1,ND_TG,W,L1,TG,EN,[GLCLC text removed],熟悉,MS,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,MS,,
W_B_M_LZJ_KR,LZJ_KR,W,L1,KR,KR,[GLCLC text removed],给以,DA,,
S_B_M_MJS_KH,MJS_KH,S,L1,KH,Other,[GLCLC text removed],说,DA,,
S_B_F_ST_MG,ST_MG,S,L1,MG,Other,[GLCLC text removed],说,DA,,
S_B_F_ST_MG,ST_MG,S,L1,MG,Other,[GLCLC text removed],说,DA,,
S_B_M_BAD_YE,BAD_YE,S,L1,YE,AR,[GLCLC text removed],说,DA,,
S_B_M_KL_KZ,KL_KZ,S,L1,KZ,TK,[GLCLC text removed],说,DA,,
S_B_M_LMN_TH_2,LMN_TH,S,L1,TH,TH,[GLCLC text removed],说,DA,,
S_B_M_LMN_TH_6,LMN_TH,S,L1,TH,TH,[GLCLC text removed],说,DA,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,DA,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,DA,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,DA,,
S_B_M_YJG_RU_2,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,DA,,
W_B_F_ST_MG,ST_MG,W,L1,MG,Other,[GLCLC text removed],说,DA,,
W_B_M_LFD_ID,LFD_ID,W,L1,ID,Other,[GLCLC text removed],说,DA,,
W_B_M_LJL_MG,LJL_MG,W,L1,MG,Other,[GLCLC text removed],说,DA,,
W_B_M_LJL_MG,LJL_MG,W,L1,MG,Other,[GLCLC text removed],说,DA,,
W_B_M_WL_MG,WL_MG,W,L1,MG,Other,[GLCLC text removed],说,DA,,
W_B_F_KP_RU_2,KP_RU,W,L1,RU,RU,[GLCLC text removed],说,DA,,
W_B_F_SHL_TH,SHL_TH,W,L1,TH,TH,[GLCLC text removed],说,EVAL,,
S_B_F_ZLE_KR,ZLE_KR,S,L1,KR,KR,[GLCLC text removed],说明,DA,,
W_B_F_BYL_BR_3,BYL_BR,W,L1,BR,PT,[GLCLC text removed],行凶,SI,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],带来,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],带来,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],不好,EVAL,,
W_I_F_ZML_TH_10,ZML_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_LWL_ID_5,LWL_ID,W,L2,ID,Other,[GLCLC text removed],生气,MS,,
W_I_F_NS_ML_1,NS_ML,W,L2,ML,FR,[GLCLC text removed],生气,MS,,
W_I_F_JXJ_KR_3,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],道歉,DA,,
W_I_F_JDHN_KR,JDHN_KR,W,L2,KR,KR,[GLCLC text removed],重要,EVAL,,
W_I_F_PRL_KR_2,PRL_KR,W,L2,KR,KR,[GLCLC text removed],是,EVAL,,
W_I_F_SHZ_KR_1,SHZ_KR,W,L2,KR,KR,[GLCLC text removed],一无所知,MS,,
